cdm	code	deptName	descr	primary
DCWAS_Providence MT	5400001	Cardivascular 2 South	OBSERVATION PER HR 2S CARDIAC	44.96
DCWAS_Providence MT	20002	Cardivascular 2 South	R&B 2S PRIVATE MED NEC CARDIAC	784.55
DCWAS_Providence MT	20004	Cardivascular 2 South	R&B 2S PRIVATE MED/SURG	490.84
DCWAS_Providence MT	20005	Cardivascular 2 South	R&B 2S SEMI-PRIVATE MED/SURG	484.85
DCWAS_Providence MT	20001	Cardivascular 2 South	R&B 2S STEP DOWN CARDIAC	1079.92
DCWAS_Providence MT	1441252	Cath Lab	2ND ORDER CATH PLACEMENT 36246	528.8
DCWAS_Providence MT	1441245	Cath Lab	3RD ORDER CATH PLACE 36247	921.74
DCWAS_Providence MT	1401229	Cath Lab	ACV CTH PTA ARMADA 5X150X150	87.58
DCWAS_Providence MT	1401225	Cath Lab	ACV CTH PTA ARMADA 5X40X150	87.58
DCWAS_Providence MT	1401233	Cath Lab	ACV CTH PTA ARMADA 6X150X150	87.58
DCWAS_Providence MT	1401230	Cath Lab	ACV CTH PTA ARMADA 6X40X150	87.58
DCWAS_Providence MT	1400067	Cath Lab	ACV GW HI-TORQ ES .014IN 300CM	241.43
DCWAS_Providence MT	1421270	Cath Lab	ANGIO BILAT EXTRE 75716	2291.37
DCWAS_Providence MT	1421296	Cath Lab	AORTOGRM ABD BILAT RUNOFF75630	1186.48
DCWAS_Providence MT	1400468	Cath Lab	CARDIAC EVENT RECORDR LINQ	2567.76
DCWAS_Providence MT	1443159	Cath Lab	CARDIOVERSION EXTERNAL 92960	167.17
DCWAS_Providence MT	1444843	Cath Lab	CATH ANGIO SPRT ANG STR 130CM	121.55
DCWAS_Providence MT	1445725	Cath Lab	CATH ATHERECT 145CM 1.50MM	2999.0
DCWAS_Providence MT	1444827	Cath Lab	CATH CTO CROSSR S6 26X66MM	2686.98
DCWAS_Providence MT	1444983	Cath Lab	CATH CXI ANGLED 2.6FX150CM	249.08
DCWAS_Providence MT	1400893	Cath Lab	CATH DIAG EXPO FL4 5F100CM	5.0
DCWAS_Providence MT	1400894	Cath Lab	CATH DIAG EXPO FL4.5 5F	5.0
DCWAS_Providence MT	1400885	Cath Lab	CATH DIAG EXPO FR4 5F100CM	5.0
DCWAS_Providence MT	1400891	Cath Lab	CATH DIAG EXPO IMT 5F	5.0
DCWAS_Providence MT	1400892	Cath Lab	CATH DIAG EXPO PIG5F 125CM	5.0
DCWAS_Providence MT	1400935	Cath Lab	CATH DIAG INFINITI 3DRC 5F	5.99
DCWAS_Providence MT	1400899	Cath Lab	CATH EXPO AL1 5F 100CM	5.0
DCWAS_Providence MT	1400898	Cath Lab	CATH EXPO AR MOD 5F	5.0
DCWAS_Providence MT	1400886	Cath Lab	CATH EXPO MPA-1 5F W/O SH	5.0
DCWAS_Providence MT	1400742	Cath Lab	CATH GD EBU3.5 6F 100CM	27.31
DCWAS_Providence MT	1400976	Cath Lab	CATH GD MICRO 90CM-HC150CM	219.11
DCWAS_Providence MT	1400474	Cath Lab	CATH LUTONIX 5X100MMX130CM	699.3
DCWAS_Providence MT	1400977	Cath Lab	CATH OP TIGER 4.0 5F 100CM	15.32
DCWAS_Providence MT	1400870	Cath Lab	CATH PTA 5F 6X100X130CM	720.28
DCWAS_Providence MT	1401100	Cath Lab	CATH PTCA RX TREK 2.5X8MM	53.28
DCWAS_Providence MT	1401129	Cath Lab	CATH PTCA RX TREK 3.75X12MM	53.28
DCWAS_Providence MT	1444835	Cath Lab	CATH USHER ANGLED 7F 130CM	371.3
DCWAS_Providence MT	1400919	Cath Lab	CK INTRO FLEXOR .038IN 6F 90CM	46.29
DCWAS_Providence MT	1400917	Cath Lab	CK INTRO FLEXOR HF  5F 70CM	56.61
DCWAS_Providence MT	1421858	Cath Lab	COR WO LH 93454	5185.81
DCWAS_Providence MT	1401734	Cath Lab	CTH ANG DX 0.035IN 5FRX65CM	7.66
DCWAS_Providence MT	1401735	Cath Lab	CTH ANG STRT GLIDE 4F 100CM	34.63
DCWAS_Providence MT	1400217	Cath Lab	CTH ATHEREC 360 1.25MM	1799.2
DCWAS_Providence MT	1402488	Cath Lab	CTH BLN 3.5X8MM DI RX EUPHORA	74.93
DCWAS_Providence MT	1402470	Cath Lab	CTH BLN 3X10MM DI RX EUPHORA	74.93
DCWAS_Providence MT	1402473	Cath Lab	CTH BLN 3X20MM DI RX EUPHORA	74.93
DCWAS_Providence MT	1400225	Cath Lab	CTH PTA  ARMADA 1.5X80X150	296.37
DCWAS_Providence MT	1400223	Cath Lab	CTH PTA  ARMADA 2.5X80X150	296.37
DCWAS_Providence MT	1400329	Cath Lab	CTH PTA AR 14 14 2X200X150	282.72
DCWAS_Providence MT	1400341	Cath Lab	CTH PTA AR 14 2X80X150	194.47
DCWAS_Providence MT	1401217	Cath Lab	CTH PTA ARMADA 3X120X150	87.58
DCWAS_Providence MT	1401219	Cath Lab	CTH PTA ARMADA 4X40X150	87.58
DCWAS_Providence MT	1401228	Cath Lab	CTH PTA ARMADA 5X120X150	87.58
DCWAS_Providence MT	1400152	Cath Lab	CTH PTA ARMADA 6X250X135	185.48
DCWAS_Providence MT	1400168	Cath Lab	CTH PTA ARMADA6X60MMX135CM	191.14
DCWAS_Providence MT	1400175	Cath Lab	CTH PTA ARMADA6X80MMX135CM	191.14
DCWAS_Providence MT	1400215	Cath Lab	CTH SWAN GANZ DUAL6F110CM	16.65
DCWAS_Providence MT	1400910	Cath Lab	CVS CATH ATHERECT 145CM 2.00MM	1746.92
DCWAS_Providence MT	1400130	Cath Lab	DEVICE CLOS MYNXGRIP 6/7F	636.36
DCWAS_Providence MT	1421643	Cath Lab	FEM/POP ANGIOPLASTY  37224	3002.0
DCWAS_Providence MT	1421650	Cath Lab	FEM/POP ATHERECTOMY 37225	6535.13
DCWAS_Providence MT	1443886	Cath Lab	GDWIRE ANGIO COUGAR XT 300CM	26.64
DCWAS_Providence MT	1400989	Cath Lab	GEH OMNIPAQ 100ML (PER ML BTL)	0.33
DCWAS_Providence MT	1400987	Cath Lab	GEH VISIP50/100ML (PER ML BTL)	0.33
DCWAS_Providence MT	1400943	Cath Lab	GEH VISIPAQUE PLUS 320 100ML	24.98
DCWAS_Providence MT	1400979	Cath Lab	GLW-HC 260CM F-3CM .035IN	31.64
DCWAS_Providence MT	1445865	Cath Lab	GUIDEWIRE HT COMMAND	74.93
DCWAS_Providence MT	1400911	Cath Lab	GW ADVANCED VIPER .014INX335CM	74.93
DCWAS_Providence MT	1400933	Cath Lab	GW EMER J STND FIX 025X150	3.66
DCWAS_Providence MT	1400932	Cath Lab	GW EMER J STND FIX 035X260	3.66
DCWAS_Providence MT	1400854	Cath Lab	GW HI-TORQUE STR 014X300	47.29
DCWAS_Providence MT	1400949	Cath Lab	GW IAB 3.0MM 0.025INX260CM	24.31
DCWAS_Providence MT	1400956	Cath Lab	GW LAUREATE ANGLED 035X180	20.31
DCWAS_Providence MT	1400957	Cath Lab	GW LAUREATE ANGLED 035X260	22.31
DCWAS_Providence MT	1444900	Cath Lab	GW V-18 CONTROL 300CM	155.84
DCWAS_Providence MT	1445600	Cath Lab	GW VERSACORE J 035X145	126.21
DCWAS_Providence MT	1400253	Cath Lab	GW VERSACORE STRGHT035X260	51.62
DCWAS_Providence MT	1400947	Cath Lab	HOS CATH THERMODILUTN 7F 110CM	32.97
DCWAS_Providence MT	1401024	Cath Lab	ICD CRT-D TRIPLE CHAMBER DF-4	8441.55
DCWAS_Providence MT	1401317	Cath Lab	ICD DEF CLARIA SURESCAN  CRT-D	7267.73
DCWAS_Providence MT	1400486	Cath Lab	ICD VR-36 DF4 CD1411-36Q	5352.64
DCWAS_Providence MT	1421619	Cath Lab	ILIAC STNT INIT VESS 37221	4930.07
DCWAS_Providence MT	1421957	Cath Lab	INJ PULM ANGIO 93568	685.98
DCWAS_Providence MT	1442151	Cath Lab	INS OR REP LEAD(S) ICD 33249	21915.73
DCWAS_Providence MT	1443670	Cath Lab	INSERTION LOOP RECORDER 33282	2425.57
DCWAS_Providence MT	1400918	Cath Lab	INTRO FLEXOR CF HF  6F 55CM	49.62
DCWAS_Providence MT	1400931	Cath Lab	INTRO FLEXOR HF  6F 70CM MP	56.61
DCWAS_Providence MT	1400980	Cath Lab	INTRO GLIDE HC 5F 10CM45CM	25.31
DCWAS_Providence MT	1400981	Cath Lab	INTRO GLIDE HC 6F 10CM45CM	25.31
DCWAS_Providence MT	1444611	Cath Lab	INTRO PINN 038IN 5FX10CM	17.65
DCWAS_Providence MT	1421890	Cath Lab	LH/COR  93458	6131.86
DCWAS_Providence MT	1421908	Cath Lab	LH/COR/IMA &/OR VBG  93459	6719.61
DCWAS_Providence MT	1445741	Cath Lab	LUBRI VIPERSLIDE BAG 100ML	127.54
DCWAS_Providence MT	1400747	Cath Lab	MED CATH GD HSI 6F 100CM	27.31
DCWAS_Providence MT	1401035	Cath Lab	MOD SED EA ADDL15M 99153	24.31
DCWAS_Providence MT	1401034	Cath Lab	MODERATE SED 1ST 15M 99152	24.31
DCWAS_Providence MT	1400958	Cath Lab	MRT GW LAUREATE STIFF 035X260	22.31
DCWAS_Providence MT	1400959	Cath Lab	MRT INTRO.018IN 11CM 21GX4CM5F	21.31
DCWAS_Providence MT	1400495	Cath Lab	OPTI LEAD NOC	1907.76
DCWAS_Providence MT	1421916	Cath Lab	R&L/COR 93460	6648.68
DCWAS_Providence MT	1421924	Cath Lab	R&L/COR/IMA &/OR VBG  93461	7669.32
DCWAS_Providence MT	1400964	Cath Lab	RDI COMPRESSION FEMOSTOP GOLD	54.28
DCWAS_Providence MT	1443688	Cath Lab	REMOVE LOOP RECORDER 33284	404.6
DCWAS_Providence MT	1421825	Cath Lab	RIGHT HEART  93451	2473.86
DCWAS_Providence MT	1444454	Cath Lab	RPL PRM ICD MLTI LD W/FL33264	21867.11
DCWAS_Providence MT	1444629	Cath Lab	SHEATH PINNACLE 6FR 10CM	17.65
DCWAS_Providence MT	1444637	Cath Lab	SHEATH PINNACLE 7FR 10CM	17.65
DCWAS_Providence MT	1400982	Cath Lab	SHEATH W/GW 035IN 4FX10CM	6.33
DCWAS_Providence MT	1401253	Cath Lab	STENT RESOLUTE ONYX 2.25 X 12	412.25
DCWAS_Providence MT	1401252	Cath Lab	STENT RESOLUTE ONYX 2.25 X 8	412.25
DCWAS_Providence MT	1401261	Cath Lab	STENT RESOLUTE ONYX 2.5 X 8	412.25
DCWAS_Providence MT	1401288	Cath Lab	STENT RESOLUTE ONYX 3.5 X 12	412.25
DCWAS_Providence MT	1401287	Cath Lab	STENT RESOLUTE ONYX 3.5 X 8	412.25
DCWAS_Providence MT	1400230	Cath Lab	STENT RESOLUTE RX 3X22	1927.07
DCWAS_Providence MT	1445378	Cath Lab	STNT PLC W/ANGIO DES 92928	3487.84
DCWAS_Providence MT	1400286	Cath Lab	STNT PRO VASC 7X80MMX135CM	619.05
DCWAS_Providence MT	1401176	Cath Lab	STNT XIENCE ALPINE 3.5X8MM	497.17
DCWAS_Providence MT	1421684	Cath Lab	TIB/PERONEAL ANGIOPL,INIT37228	4445.88
DCWAS_Providence MT	1421692	Cath Lab	TIB/PERONEAL ATHER INIT 37229	6438.22
DCWAS_Providence MT	1400864	Cath Lab	VASC CLOS MYNXGRIP 5F GREY	98.24
DCWAS_Providence MT	1400985	Cath Lab	VSC CATH GUIDING GUIDELINER 6F	192.14
DCWAS_Providence MT	6521777	Centralized Clinic Revenue	POC: BLOOD COUNT; HEMATOCRIT	4.66
DCWAS_Providence MT	6521256	Centralized Clinic Revenue	POC: GLUCOSE FINGERSTICK	6.33
DCWAS_Providence MT	6521264	Centralized Clinic Revenue	POC: HEMOGLOBIN	5.0
DCWAS_Providence MT	6521785	Centralized Clinic Revenue	POC: POTASSIUM; SERUM	7.33
DCWAS_Providence MT	6521793	Centralized Clinic Revenue	POC: SODIUM; SERUM	7.66
DCWAS_Providence MT	6521223	Centralized Clinic Revenue	POC: URINE, PREGNANCY	9.99
DCWAS_Providence MT	6521801	Centralized Clinic Revenue	POC:I-STAT WHOLE BLOOD GLUCOSE	6.33
DCWAS_Providence MT	2330009	Dialysis	HEMO DIALYSIS SVC	468.86
DCWAS_Providence MT	3480019	EEG	EEG >1HR	147.19
DCWAS_Providence MT	3480001	EEG	EEG 41-60 MINS	147.19
DCWAS_Providence MT	3480027	EEG	EEG AWAKE & DROWSY	147.19
DCWAS_Providence MT	3497104	EEG	EEG INCLUDING AWAKE/ASLEEP	147.19
DCWAS_Providence MT	2695567	Emergency Department	*ADMIN EA ADDL VACCINE	12.32
DCWAS_Providence MT	2695559	Emergency Department	*ADMIN INITIAL VACCINE	38.63
DCWAS_Providence MT	2695583	Emergency Department	*INJ SUBCU OR INTRAMUSCULAR	34.97
DCWAS_Providence MT	2695609	Emergency Department	*INJECTION ANTIBIOTIC IM	34.97
DCWAS_Providence MT	2695591	Emergency Department	*IV TX PUSH SNG/INIT SUBSTANCE	73.93
DCWAS_Providence MT	2695153	Emergency Department	APLY FOREARM SPLINT SHORT	63.6
DCWAS_Providence MT	2695146	Emergency Department	APLY LONG ARM SPLINT	53.95
DCWAS_Providence MT	2695203	Emergency Department	APPL LONG LEG SPLINT	86.91
DCWAS_Providence MT	2695211	Emergency Department	APPL LWR LEG SPLINT CALF-FOOT	43.96
DCWAS_Providence MT	2694974	Emergency Department	BIMLLOLAR ANKLE FRCTR W/ MNPL	306.36
DCWAS_Providence MT	2695336	Emergency Department	BLOOD TRANSFUSION SRVC	237.76
DCWAS_Providence MT	5425004	Emergency Department	CDU OBSERVATION	44.62
DCWAS_Providence MT	2695393	Emergency Department	CHG GASTROSTOMY TUBE	81.92
DCWAS_Providence MT	2695245	Emergency Department	CNTRL OF NOSEBLEED CMPLX	84.25
DCWAS_Providence MT	2695237	Emergency Department	CNTRL OF NOSEBLEED SMPL	76.92
DCWAS_Providence MT	2602017	Emergency Department	CONTRAST GASTROGRAFIN PER ML	0.11
DCWAS_Providence MT	2603140	Emergency Department	CONTRL HEMORRAGE NASAL,ANTRIOR	62.94
DCWAS_Providence MT	2692085	Emergency Department	CPR	535.8
DCWAS_Providence MT	2694487	Emergency Department	DRN/INJ JNT/BURSA INTMD JNT	130.54
DCWAS_Providence MT	2694495	Emergency Department	DRN/INJ JNT/BURSA MJR JNT	130.54
DCWAS_Providence MT	2698389	Emergency Department	DRNG OF FINGER ABSCESS, SIMPLE	124.88
DCWAS_Providence MT	2694008	Emergency Department	DRNG SKN ABSCSS COMP/MUTLI	134.2
DCWAS_Providence MT	2695757	Emergency Department	DRNGE SKIN ABSCESS SMPL	122.21
DCWAS_Providence MT	2691301	Emergency Department	ED CRITICAL 30 TO 74	303.36
DCWAS_Providence MT	2695625	Emergency Department	ED CRITICAL CARE (EA ADDTL 30)	296.04
DCWAS_Providence MT	2600022	Emergency Department	ED LEVEL I W/O PROC	104.9
DCWAS_Providence MT	2695633	Emergency Department	ED LEVEL I W/PROC	104.9
DCWAS_Providence MT	2600023	Emergency Department	ED LEVEL II W/O PROC	113.55
DCWAS_Providence MT	2695641	Emergency Department	ED LEVEL II W/PROC	113.55
DCWAS_Providence MT	2600024	Emergency Department	ED LEVEL III W/O PROC	165.17
DCWAS_Providence MT	2695658	Emergency Department	ED LEVEL III W/PROC	165.17
DCWAS_Providence MT	2600025	Emergency Department	ED LEVEL IV W/O PROC	222.11
DCWAS_Providence MT	2695666	Emergency Department	ED LEVEL IV W/PROC	222.11
DCWAS_Providence MT	2600026	Emergency Department	ED LEVEL V W/O PROC	256.74
DCWAS_Providence MT	2695674	Emergency Department	ED LEVEL V W/PROC	256.74
DCWAS_Providence MT	2698678	Emergency Department	ED LWBS LAT	39.63
DCWAS_Providence MT	2698686	Emergency Department	ED LWBS LBT	0.0
DCWAS_Providence MT	5425145	Emergency Department	EMERGENCY DEPT OBSERVATION	44.96
DCWAS_Providence MT	2600252	Emergency Department	GASTRIC INTUBATION & ASP, THER	195.47
DCWAS_Providence MT	2698199	Emergency Department	HYDRATN IV INFUS INIT31-60MINS	119.88
DCWAS_Providence MT	2695450	Emergency Department	I & D OF VULVA/PERINEUM	99.57
DCWAS_Providence MT	2604205	Emergency Department	I&D MOUTH, SIMPLE	79.59
DCWAS_Providence MT	2600060	Emergency Department	IMMOBILIZER KNEE MEDIUM 20IN	7.33
DCWAS_Providence MT	2698090	Emergency Department	INSERT BLADDER CATH	89.24
DCWAS_Providence MT	2698116	Emergency Department	INSERT BLADDER CATH COMPLEX	63.27
DCWAS_Providence MT	2698108	Emergency Department	INSERT BLADDER CATH TEMP	89.24
DCWAS_Providence MT	2600087	Emergency Department	INSERT CATH ARTERY - BL/INFUSN	32.97
DCWAS_Providence MT	2695260	Emergency Department	INSERT ENDO TRAC TUBE	157.18
DCWAS_Providence MT	2695351	Emergency Department	INSRTN OF CNTRL VEN CTH >5YRS	604.06
DCWAS_Providence MT	2695740	Emergency Department	INTL TRT OF BURN 1ST DEGREE	64.94
DCWAS_Providence MT	2694420	Emergency Department	INTL/SUBQ TRTM BRN 2ND DGR SML	71.6
DCWAS_Providence MT	2694792	Emergency Department	INTRPHLNGL SGL FNGRW/MNPLW/OAN	160.84
DCWAS_Providence MT	2695427	Emergency Department	IRRIGATION OF BLADDER	153.85
DCWAS_Providence MT	2698181	Emergency Department	IV INF ADL SEQ NEW DRUG 1ST HR	36.96
DCWAS_Providence MT	2680015	Emergency Department	IV INF HYDRATION, EA ADDL HOUR	31.3
DCWAS_Providence MT	2688042	Emergency Department	IV INFUS NON CHEMO EA ADDL HR	44.96
DCWAS_Providence MT	2645778	Emergency Department	IV PUSH NEW DRUG NON CHEMO	58.61
DCWAS_Providence MT	2680007	Emergency Department	IV START NON CHEMO 16-60MIN	113.89
DCWAS_Providence MT	2694347	Emergency Department	LYR CLSR  WND FACE LT 2.5CM	113.89
DCWAS_Providence MT	2694354	Emergency Department	LYR CLSR WND FACE 2.5-5.0CM	121.88
DCWAS_Providence MT	2694297	Emergency Department	LYR CLSR WND NCK HND FT2.6-7.5	122.21
DCWAS_Providence MT	2694230	Emergency Department	LYR CLSR WND SCP TRK EXT2.5-7.	110.56
DCWAS_Providence MT	2694248	Emergency Department	LYR CLSR WND SCP TRK EXT7.6-12	130.2
DCWAS_Providence MT	2694222	Emergency Department	LYR CLSR WND SCP TRK EXTGT 2.5	98.9
DCWAS_Providence MT	2600050	Emergency Department	MODERATE SEDATION 1ST 15MIN	24.31
DCWAS_Providence MT	2680080	Emergency Department	MODERATE SEDATION EA ADDL15MIN	24.31
DCWAS_Providence MT	2698215	Emergency Department	NG TUBE PLACE W FLUORO	102.56
DCWAS_Providence MT	2698371	Emergency Department	PUNCTURE ASP OF ABSCESS/CYST	196.8
DCWAS_Providence MT	2600028	Emergency Department	RAPID STREP - ECC POC	17.32
DCWAS_Providence MT	2601732	Emergency Department	REMOVE IMPACTED EAR WAX UNI	37.96
DCWAS_Providence MT	2694040	Emergency Department	REMVL OF NAIL PLTE SIMPLE SNGL	99.23
DCWAS_Providence MT	2694065	Emergency Department	REPAIR OF NAIL BED	80.92
DCWAS_Providence MT	2694024	Emergency Department	RMV FOREIGN BODY SKIN SIMPLE	192.47
DCWAS_Providence MT	2695534	Emergency Department	RMVL FRGN BDY EAR CNL W/O ANES	89.24
DCWAS_Providence MT	26138	Emergency Department	ROOM RATE--AM ADMISSION	229.1
DCWAS_Providence MT	2694149	Emergency Department	RPR SUP WND FCE ETC 2.6-5.0CM	87.25
DCWAS_Providence MT	2694156	Emergency Department	RPR SUP WND FCE ETC 5.1-7.5CM	107.23
DCWAS_Providence MT	2694131	Emergency Department	RPR SUP WND FCE ETC LT 2.5CM	78.92
DCWAS_Providence MT	2694107	Emergency Department	RPR SUP WND SCL TRK 12.6-20.0C	124.21
DCWAS_Providence MT	2694081	Emergency Department	RPR SUP WND SCL TRK 2.6-7.5CM	82.25
DCWAS_Providence MT	2694099	Emergency Department	RPR SUP WND SCL TRK 7.6-12.5CM	97.9
DCWAS_Providence MT	2694073	Emergency Department	RPR SUP WND SCL TRK LT 2.5CM	76.92
DCWAS_Providence MT	26781	Emergency Department	SEMI PRIVATE RATE--EMER ROOM	484.85
DCWAS_Providence MT	2695492	Emergency Department	SPINAL FLUID TAP DIAG	246.75
DCWAS_Providence MT	2600044	Emergency Department	STRAPPING ANKLE AND/OR FOOT	86.91
DCWAS_Providence MT	2600040	Emergency Department	STRAPPING SHOULDER (VELPEAU)	72.59
DCWAS_Providence MT	2698173	Emergency Department	THER/DIAG CONCURRENT INF	31.3
DCWAS_Providence MT	2698033	Emergency Department	THORACOSTOMY-INSERT CHEST TUBE	219.78
DCWAS_Providence MT	2602183	Emergency Department	TREAT HIP DISLOCATION	76.92
DCWAS_Providence MT	2698488	Emergency Department	TREAT TOE DISLOCATION	86.25
DCWAS_Providence MT	2694958	Emergency Department	TRT DIST FIB/LAT MALL FX W/MNP	258.08
DCWAS_Providence MT	2694768	Emergency Department	TRT FINGER FRCTR EA W/ MANIPL	184.15
DCWAS_Providence MT	2694685	Emergency Department	TRT FRCTR RDS W/WO ULNA W/ MNP	338.33
DCWAS_Providence MT	2694727	Emergency Department	TRT METACARPAL FRCTR W/ MANIPL	195.47
DCWAS_Providence MT	2694719	Emergency Department	TRT METACARPAL FRCTR W/O MNPL	133.53
DCWAS_Providence MT	2694925	Emergency Department	TRT PROX/SHAFT FIB W/O MANIP	175.16
DCWAS_Providence MT	2698348	Emergency Department	TRT SHOULDER DISLOCATION	89.24
DCWAS_Providence MT	2698165	Emergency Department	TX/PRO/DX IVP SAME DRUG	32.97
DCWAS_Providence MT	2600027	Emergency Department	URINE, DIPSTICK - ECC POC	5.0
DCWAS_Providence MT	2600001	Emergency Department	URINE, PREGNANCY - ECC POC	9.99
DCWAS_Providence MT	2605715	Emergency Department	VENIPUNCTURE ROUTINE	6.66
DCWAS_Providence MT	1800024	Endoscopy	BALLOON EXTRACTOR PRO 12-15MM	74.59
DCWAS_Providence MT	1800047	Endoscopy	BRUSH CYTO CELEB 1MMX140CM	7.33
DCWAS_Providence MT	1800021	Endoscopy	CATH BILI BLN EXTRACTOR 9-12MM	74.59
DCWAS_Providence MT	1800040	Endoscopy	CATH GASTRO ENDOVIVE PEG 20FR	59.27
DCWAS_Providence MT	1800017	Endoscopy	CLIP DVC RESL 2.8MM 11MMX235CM	86.58
DCWAS_Providence MT	1800052	Endoscopy	CLIP HEMOSTATIC BRAID 235CM	132.53
DCWAS_Providence MT	1800032	Endoscopy	CTH BLN DIL6FRX12-15MMX8X180CM	93.91
DCWAS_Providence MT	1800000	Endoscopy	ENDO SURGERY 1ST 30MIN	430.57
DCWAS_Providence MT	1800001	Endoscopy	ENDO SURGERY EACH ADDL MIN	8.33
DCWAS_Providence MT	1800042	Endoscopy	FORCEPS BX ENDO JAW3.2MMX240CM	8.99
DCWAS_Providence MT	1800011	Endoscopy	GASTROSTOMY KIT PEG DELUXE 20F	43.29
DCWAS_Providence MT	1800014	Endoscopy	GW SPHINCTER DREAMTOME RX 44	210.12
DCWAS_Providence MT	1800043	Endoscopy	INF DVC BLN DIL ANGIO CORONARY	19.98
DCWAS_Providence MT	1800009	Endoscopy	LIGATOR SPDBAND SUPER7 ANORECL	111.89
DCWAS_Providence MT	1800028	Endoscopy	MOD SEDAT DIFF PHYS 1ST 15MIN	24.31
DCWAS_Providence MT	1800018	Endoscopy	NEEDLE VARIJECT4MM 1.8MMX200CM	19.65
DCWAS_Providence MT	1800048	Endoscopy	NET RETRIEVAL POLYP	65.27
DCWAS_Providence MT	1800002	Endoscopy	PROBE CATH ELECTROHEM 7FX300CM	76.59
DCWAS_Providence MT	1800012	Endoscopy	RADIAL JAW FORCEP NOC	25.31
DCWAS_Providence MT	1800010	Endoscopy	SNARE POLYPEC CAPTIVAT HEX	8.66
DCWAS_Providence MT	1800020	Endoscopy	STENT BILI FLEXIMA SYS 7F 7CM	60.27
DCWAS_Providence MT	1800019	Endoscopy	TUBE GASTRO SILIC 22F 20ML	36.63
DCWAS_Providence MT	3053196	Histopathology	BONE MARROW BIOPSY INTRPRETATN	204.13
DCWAS_Providence MT	3056173	Histopathology	BRAF GENE	72.93
DCWAS_Providence MT	3028529	Histopathology	CELL BLOCK	37.96
DCWAS_Providence MT	3057338	Histopathology	COMPREH METABOLIC PANEL W/EGFR	10.66
DCWAS_Providence MT	3028511	Histopathology	CYTO FLDS FIL/SMR	17.32
DCWAS_Providence MT	3028537	Histopathology	CYTO FLUIDS	50.28
