AS OF 01/05/2019

CODE    ,PROCEDURE DESCRIPTION         ,BEGIN DATE,END DATE  ,PRIOR AUTHORIZATION REQUIRED  ,FEE (AGE 21+),FEE (UNDER 21),MAX UNITS,FACILITY PRICING,MANUAL PRICING,COVERED BENEFIT,
D0277   ,VERTICAL BITEWINGS - 7 TO 8 RADIOGRAPHIC IMAGES                                                                                                                                                                                                                                                                                 ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,   ,NO ,
D0290   ,POSTERIOR-ANTERIOR OR LATERAL SKULL AND FACIAL BONE SURVEY RADIOGRAPHIC IMAGE                                                                                                                                                                                                                                                   ,01/01/2008,12/31/9999,NO                            ,$140.00   ,$314.00   ,        2,            ,   ,YES,
D0310   ,SIALOGRAPHY                                                                                                                                                                                                                                                                                                                     ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,   ,NO ,
D0320   ,TEMPOROMANDIBULAR JOINT ARTHROGRAM  INCLUDING INJECTION                                                                                                                                                                                                                                                                         ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,   ,NO ,
D0321   , OTHER TEMPOROMANDIBULAR JOINT RADIOGRAPHIC IMAGES  BY REPORT                                                                                                                                                                                                                                                                   ,12/31/1978,12/31/9999,NO                            ,$0.00     ,$0.00     ,      999,            ,   ,NO ,
D0322   ,TOMOGRAPHIC SURVEY                                                                                                                                                                                                                                                                                                              ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,   ,NO ,
D0330   ,PANORAMIC RADIOGRAPHIC IMAGE                                                                                                                                                                                                                                                                                                    ,01/07/2006,12/31/9999,NO                            ,$68.00    ,$80.00    ,        1,            ,   ,YES,
D0340   ,2d cephalometric radiographic image - acquisition  measurement and analysis                                                                                                                                                                                                                                                     ,07/01/2003,12/31/9999,NO                            ,$80.00    ,$100.00   ,      999,            ,   ,YES,
D0350   ,2d oral/facial photographic image obtained intra-orally or extra-orally                                                                                                                                                                                                                                                         ,01/01/2007,12/31/9999,NO                            ,$47.00    ,$59.00    ,        1,            ,   ,YES,
D0351   ,3D PHOTOGRAPHIC IMAGE                                                                                                                                                                                                                                                                                                           ,01/01/2015,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,   ,NO ,
D0364   ,CONE BEAM CT CAPTURE AND INTERPRETATION WITH LIMITED FIELD OF VIEW - LESS THANONE WHOLE JAW                                                                                                                                                                                                                                     ,01/01/2013,12/31/9999,YES                           ,$0.00     ,$0.00     ,        1,            ,YES,YES,
D0365   ,CONE BEAM CT CAPTURE AND INTERPRETATION WITH FIELD OF VIEW OF ONE FULL DENTALARCH - MANDIBLE                                                                                                                                                                                                                                    ,01/01/2013,12/31/9999,YES                           ,$0.00     ,$0.00     ,        1,            ,YES,YES,
D0366   , CONE BEAM CT CAPTURE AND INTERPRETATION WITH FIELD OF VIEW OF ONE FULL DENTALARCH - MAXILLA  WITH OR WITHOUT CRANIUM                                                                                                                                                                                                           ,01/01/2013,12/31/9999,YES                           ,$0.00     ,$0.00     ,        1,            ,YES,YES,
D0367   , CONE BEAM CT CAPTURE AND INTERPRETATION WITH FIELD OF VIEW OF BOTH JAWS  WITHOR WITHOUT CRANIUM                                                                                                                                                                                                                                ,01/01/2013,12/31/9999,YES                           ,$235.68   ,$235.68   ,        1,            ,YES,YES,
D0368   ,CONE BEAM CT CAPTURE AND INTERPRETATION FOR TMJ SERIES INCLUDING TWO OR MOREEXPOSURES                                                                                                                                                                                                                                           ,01/01/2013,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D0369   ,MAXILLOFACIAL MRI CAPTURE AND INTERPRETATION                                                                                                                                                                                                                                                                                    ,01/01/2013,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D0370   ,MAXILLOFACIAL ULTRASOUND CAPTURE AND INTERPRETATION                                                                                                                                                                                                                                                                             ,01/01/2013,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D0371   ,SIALOENDOSCOPY CAPTURE AND INTERPRETATION                                                                                                                                                                                                                                                                                       ,01/01/2013,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D0380   ,CONE BEAM CT IMAGE CAPTURE WITH LIMITED FIELD OF VIEW - LESS THAN ONE WHOLE JAW                                                                                                                                                                                                                                                 ,01/01/2013,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D0381   ,CONE BEAM CT IMAGE CAPTURE WITH FIELD OF VIEW OF ONE FULL DENTAL ARCH - MANDIBLE                                                                                                                                                                                                                                                ,01/01/2013,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D0382   , CONE BEAM CT IMAGE CAPTURE WITH FIELD OF VIEW OF ONE FULL DENTAL ARCH -MAXILLA  WITH OR WITHOUT CRANIUM                                                                                                                                                                                                                        ,01/01/2013,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D0383   , CONE BEAM CT IMAGE CAPTURE WITH FIELD OF VIEW OF BOTH JAWS  WITH OR WITHOUTCRANIUM                                                                                                                                                                                                                                             ,01/01/2013,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D0384   ,CONE BEAM CT IMAGE CAPTURE FOR TMJ SERIES INCLUDING TWO OR MORE EXPOSURES                                                                                                                                                                                                                                                       ,01/01/2013,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D0385   ,MAXILLOFACIAL MRI IMAGE CAPTURE                                                                                                                                                                                                                                                                                                 ,01/01/2013,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D0386   ,MAXILLOFACIAL ULTRASOUND IMAGE CAPTURE                                                                                                                                                                                                                                                                                          ,01/01/2013,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D0391   , INTERPRETATION OF DIAGNOSTIC IMAGE BY A PRACTITIONER NOT ASSOCIATED WITHCAPTURE OF THE IMAGE  INCLUDING REPORT                                                                                                                                                                                                                 ,01/01/2013,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D0393   ,TREATMENT SIMULATION USING 3D IMAGE VOLUME                                                                                                                                                                                                                                                                                      ,01/01/2014,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D0394   ,DIGITAL SUBTRACTION OF TWO OR MORE IMAGES OR IMAGE VOLUMES OF THE SAME MODALITY                                                                                                                                                                                                                                                 ,01/01/2014,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D0395   ,FUSION OF TWO OR MORE 3D IMAGE VOLUMES OF ONE OR MORE MODALITIES                                                                                                                                                                                                                                                                ,01/01/2014,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D0411   ,HBA1C IN-OFFICE POINT OF SERVICE TESTING                                                                                                                                                                                                                                                                                        ,01/01/2018,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D0412   ,BLOOD GLUCOSE LEVEL TEST - IN-OFFICE USING A GLUCOSE METER                                                                                                                                                                                                                                                                      ,01/01/2019,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D0414   ,LABORATORY PROCESSING OF MICROBIAL SPECIMEN TO INCLUDE CULTURE AND SENSITIVITY STUDIES  PREPARATION AND TRANSMISSION OF WRITTEN REPORT                                                                                                                                                                                          ,01/01/2017,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D0415   ,COLLECTION OF MICROORGANISMS FOR CULTURE AND SENSITIVITY                                                                                                                                                                                                                                                                        ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D0416   ,VIRAL CULTURE                                                                                                                                                                                                                                                                                                                   ,01/01/2005,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D0417   ,COLLECTION AND PREPARATION OF SALIVA SAMPLE FOR LABORATORY DIAGNOSTIC TESTING                                                                                                                                                                                                                                                   ,01/01/2009,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D0418   ,ANALYSIS OF SALIVA SAMPLE                                                                                                                                                                                                                                                                                                       ,01/01/2009,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D0422   ,COLLECTION AND PREPARATION OF GENETIC SAMPLE MATERIAL FOR LABORATORY ANALYSIS AND REPORT                                                                                                                                                                                                                                        ,01/01/2016,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D0423   ,GENETIC TEST FOR SUSCEPTIBILITY TO DISEASES - SPECIMEN ANALYSIS                                                                                                                                                                                                                                                                 ,01/01/2016,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D0425   ,CARIES SUSCEPTIBILITY TESTS                                                                                                                                                                                                                                                                                                     ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D0431   ,ADJUNCTIVE PRE-DIAGNOSTIC TEST THAT AIDS IN DETECTION OF MUCOSAL ABNORMALITIES  INCLUDING PREMALIGNANT AND MALIGNANT LESIONS  NOT TO INCLUDE CYTOLOGY OR BIOPSY PROCEDURES                                                                                                                                                      ,01/01/2005,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D0460   ,PULP TEST                                                                                                                                                                                                                                                                                                                       ,01/07/2006,12/31/9999,NO                            ,$27.00    ,$39.00    ,        1,            ,YES,YES,
D0470   ,STUDY MODELS                                                                                                                                                                                                                                                                                                                    ,01/07/2006,12/31/9999,YES                           ,$50.00    ,$75.00    ,        2,            ,YES,YES,
D0472   ,ACCESSION OF TISSUE  GROSS EXAMINATION  PREPARATION AND TRANSMISSION OF WRITTEN REPORT                                                                                                                                                                                                                                          ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D0473   ,ACCESSION OF TISSUE  GROSS AND MICROSCOPIC EXAMINATION  PREPARATION AND         TRANSMISSION OF WRITTEN REPORT                                                                                                                                                                                                                  ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D0474   ,ACCESSION OF TISSUE  GROSS AND MICROSCOPIC EXAMINATION  INCLUDING ASSESSMENT OF SURGICAL MARGINS FOR PRESENCE OF DISEASE  PREPARATION AND TRANSMISSION OF       WRITTEN REPORT                                                                                                                                                  ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D0475   ,DECALCIFICATION PROCEDURE                                                                                                                                                                                                                                                                                                       ,01/01/2005,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D0476   ,SPECIAL STAINS FOR MICROORGANISMS                                                                                                                                                                                                                                                                                               ,01/01/2005,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D0477   ,SPECIAL STAINS  NOT FOR MICROORGANISMS                                                                                                                                                                                                                                                                                          ,01/01/2005,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D0478   ,IMMUNOHISTOCHEMICAL STAINS                                                                                                                                                                                                                                                                                                      ,01/01/2005,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D0479   ,TISSUE IN-SITU HYBRIDIZATION  INCLUDING INTERPRETATION                                                                                                                                                                                                                                                                          ,01/01/2005,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D0480   ,ACCESSION OF EXFOLIATIVE CYTOLOGIC SMEARS  MICROSCOPIC EXAMINATION  PREPARATION AND TRANSMISSION OF WRITTEN REPORT                                                                                                                                                                                                              ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D0481   ,Electron microscopy                                                                                                                                                                                                                                                                                                             ,01/01/2005,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D0482   ,DIRECT IMMUNOFLUORESCENCE                                                                                                                                                                                                                                                                                                       ,01/01/2005,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D0483   ,INDIRECT IMMUNOFLUORESCENCE                                                                                                                                                                                                                                                                                                     ,01/01/2005,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D0484   ,CONSULTATION ON SLIDES PREPARED ELSEWHERE                                                                                                                                                                                                                                                                                       ,01/01/2005,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D0485   ,CONSULTATION  INCLUDING PREPARATION OF SLIDES FROM BIOPSY MATERIAL SUPPLIED BY  REFERRING SOURCE                                                                                                                                                                                                                                ,01/01/2005,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D0486   ,ACCESSION OF TRANSEPITHELIAL CYTOLOGIC SAMPLE  MICROSCOPIC EXAMINATION PREPARATION AND TRANSMISSION OF WRITTEN REPORT                                                                                                                                                                                                           ,01/01/2007,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D0502   ,OTHER ORAL PATHOLOGY PROCEDURES  BY REPORT                                                                                                                                                                                                                                                                                      ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D0600   ,NON-IONIZING DIAGNOSTIC PROCEDURE CAPABLE OF QUANTIFYING  MONITORING  AND RECORDING CHANGES IN STRUCTURE OF ENAMEL  DENTIN  AND CEMENTUM                                                                                                                                                                                        ,01/01/2017,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D0601   ,CARIES RISK ASSESSMENT AND DOCUMENTATION  WITH A FINDING OF LOW RISK                                                                                                                                                                                                                                                            ,01/01/2014,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D0602   ,CARIES RISK ASSESSMENT AND DOCUMENTATION  WITH A FINDING OF MODERATE RISK                                                                                                                                                                                                                                                       ,01/01/2014,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D0603   ,CARIES RISK ASSESSMENT AND DOCUMENTATION  WITH A FINDING OF HIGH RISK                                                                                                                                                                                                                                                           ,01/01/2014,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D0999   ,PRESURGICAL WORK UP                                                                                                                                                                                                                                                                                                             ,09/01/1990,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D1110   ,PREVENTIVE PROPHYLAXIS                                                     BILL AN ADDITIONAL CODE FOR EXAM IF PERFORMED AT THE SAME TIME.                                                                                                                                                                                      ,07/01/2003,12/31/9999,NO                            ,$69.00    ,$77.50    ,        1,            ,YES,YES,
D1120   ,PREVENTIVE PHROPHYLAXIS 15 +                                               BILL AN ADDITIONAL CODE IF EXAM IS PERFORMED AT THE SAME TIME.                                                                                                                                                                                       ,01/07/2006,12/31/9999,NO                            ,$47.00    ,$47.00    ,       10,            ,YES,YES,
D1206   ,TOPICAL APPLICATION OF FLUORIDE VARNISH                                                                                                                                                                                                                                                                                         ,01/01/2013,12/31/9999,NO                            ,$29.00    ,$29.00    ,        1,            ,YES,YES,
D1208   ,Topical application of fluoride - excluding varnish                                                                                                                                                                                                                                                                             ,01/01/2013,12/31/9999,NO                            ,$25.00    ,$25.00    ,        1,            ,YES,YES,
D1310   ,DIET PLAN FOR CONTROL DENTAL                                                                                                                                                                                                                                                                                                    ,12/31/1978,12/31/9999,NO                            ,$0.00     ,$0.00     ,      999,            ,YES,NO ,
D1320   ,TOBACCO COUNSELING FOR THE CONTROL AND PREVENTION OF ORAL DISEASE                                                                                                                                                                                                                                                               ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D1351   ,DENTAL SEALANTS                                                                                                                                                                                                                                                                                                                 ,01/07/2006,12/31/9999,NO                            ,$38.00    ,$38.00    ,        1,            ,YES,YES,
D1352   ,PREVENTIVE RESIN RESTORATION IN A MODERATE TO HIGH CARIES RISK PATIENT -PERMANENT TOOTH                                                                                                                                                                                                                                         ,01/01/2011,12/31/9999,NO                            ,$0.00     ,$0.00     ,   999999,            ,YES,NO ,
D1353   ,SEALANT REPAIR - PER TOOTH                                                                                                                                                                                                                                                                                                      ,01/01/2015,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D1354   ,Interim caries arresting medicament application - per tooth                                                                                                                                                                                                                                                                     ,01/01/2016,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D1510   ,FIXED  BAND TYPE                                                                                                                                                                                                                                                                                                                ,01/07/2006,12/31/9999,NO                            ,$184.00   ,$230.00   ,       30,            ,YES,YES,
D1516   ,SPACE MAINTAINER - FIXED - BILATERAL  MAXILLARY                                                                                                                                                                                                                                                                                 ,01/01/2019,12/31/9999,NO                            ,$260.00   ,$350.00   ,        1,            ,YES,YES,
D1517   ,SPACE MAINTAINER - FIXED - BILATERAL  MANDIBULAR                                                                                                                                                                                                                                                                                ,01/01/2019,12/31/9999,NO                            ,$260.00   ,$350.00   ,        1,            ,YES,YES,
D1520   ,FIXED CAST TYPE                                                                                                                                                                                                                                                                                                                 ,12/31/1978,12/31/9999,NO                            ,$0.00     ,$0.00     ,      999,            ,YES,NO ,
D1526   ,SPACE MAINTAINER - REMOVABLE - BILATERAL  MAXILLARY                                                                                                                                                                                                                                                                             ,01/01/2019,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D1527   ,SPACE MAINTAINER - REMOVABLE - BILATERAL  MANDIBULAR                                                                                                                                                                                                                                                                            ,01/01/2019,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D1550   ,Re-cement or re-bond space maintainer                                                                                                                                                                                                                                                                                           ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D1555   ,REMOVAL OF FIXED SPACE MAINTAINER                                                                                                                                                                                                                                                                                               ,01/01/2007,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D1575   ,DISTAL SHOE SPACE MAINTAINER - FIXED - UNILATERAL                                                                                                                                                                                                                                                                               ,01/01/2017,12/31/9999,NO                            ,$230.00   ,$230.00   ,        1,            ,YES,YES,
D1999   ,UNSPECIFIED PREVENTIVE PROCEDURE  BY REPORT                                                                                                                                                                                                                                                                                     ,01/01/2014,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
